#M. Wang et al., Chinese Physics C41, 030003, 2017
#  iz  ia   BE (keV)  error (keV)  in
  33  77   669590.250     1.694 1  44
  33  78   676562.250     9.750 1  45
  33  79   685452.688     5.293 1  46
  33  80   692102.438     3.360 1  47
  33  81   700492.500     2.673 1  48
  33  82   706135.938     3.690 1  49
  33  83   713771.250     2.822 1  50
  33  84   718026.812     3.192 1  51
  33  85   723433.688     3.060 1  52
  33  86   727278.000     3.440 1  53
  33  87   732005.000     2.958 1  54
  34  67   560758.812    67.067 1  33
  34  68   576439.188     0.476 1  34
  34  69   586755.812     1.518 1  35
  34  70   600322.312     1.610 1  36
  34  71   609610.250     2.769 1  37
  34  72   622403.250     1.944 1  38
  34  73   630833.688     7.446 1  39
  34  74   642890.875     0.000 1  40
  34  75   650918.500     0.075 1  41
  34  76   662072.250     0.000 1  42
  34  77   669491.188     0.077 1  43
  34  78   679988.812     0.156 1  44
  34  79   686951.750     0.237 1  45
  34  80   696865.062     0.960 1  46
  34  81   703565.938     0.972 1  47
  34  82   712842.125     0.492 1  48
  34  83   718660.062     3.071 1  49
  34  84   727338.625     1.932 1  50
  34  85   731875.812     2.635 1  51
  34  86   738036.688     2.494 1  52
  34  87   742030.875     2.262 1  53
  34  88   747560.375     3.344 1  54
  34  89   750739.875     3.738 1  55
  34  90   755618.875   329.760 1  56
  34  91   758470.188   433.160 1  57
  35  69   575798.250    42.021 1  34
  35  70   589035.688    14.910 1  35
  35  71   602183.812     5.396 1  36
  35  72   612814.438     1.008 1  37
  35  73   625471.500     7.300 1  38
  35  74   635183.500     5.846 1  39
  35  75   647073.688     4.275 1  40
  35  76   656327.000     9.348 1  41
  35  77   667344.062     2.849 1  42
  35  78   675632.812     3.588 1  43
  35  79   686319.875     1.027 1  44
  35  80   694212.250     1.040 1  45
  35  81   704371.625     0.972 1  46
  35  82   711964.500     0.984 1  47
  35  83   721550.875     3.818 1  48
  35  84   728391.625    25.704 1  49
  35  85   737255.312     3.060 1  50
  35  86   742383.438     3.096 1  51
  35  87   748714.188     3.132 1  52
  35  88   753609.750     3.168 1  53
  35  89   759239.375     3.293 1  54
  35  90   763036.688     3.330 1  55
  35  91   768215.000     3.549 1  56
  35  92   771411.812     6.716 1  57
  35  93   776140.562   430.776 1  58
  36  71   591226.250   128.794 1  35
  36  72   606911.000     7.992 1  36
  36  73   617593.375     6.570 1  37
  36  74   631444.812     1.998 1  38
  36  75   641507.938     8.100 1  39
  36  76   654269.312     4.028 1  40
  36  77   663496.375     1.925 1  41
  36  78   675576.562     0.312 1  42
  36  79   683911.875     3.476 1  43
  36  80   695434.250     0.720 1  44
  36  81   703308.438     1.053 1  45
  36  82   714275.312     0.000 1  46
  36  83   721745.438     0.000 1  47
  36  84   732265.500     0.000 1  48
  36  85   739377.750     2.040 1  49
  36  86   749234.500     0.000 1  50
  36  87   754749.625     0.261 1  51
  36  88   761802.688     2.640 1  52
  36  89   766718.562     2.136 1  53
  36  90   773213.312     1.890 1  54
  36  91   777299.312     2.275 1  55
  36  92   783166.000     2.668 1  56
  36  93   786604.062     2.511 1  57
  36  94   791887.125    12.126 1  58
  36  95   794769.562    18.620 1  59
  36  96   799761.625    20.448 1  60
  36  97   802176.812   130.368 1  61
  37  74   620246.688     3.034 1  37
  37  75   633620.625     1.200 1  38
  37  76   644952.312     0.912 1  39
  37  77   657375.062     1.309 1  40
  37  78   667551.250     3.276 1  41
  37  79   679490.188     2.133 1  42
  37  80   688934.000     1.840 1  43
  37  81   700286.500     4.941 1  44
  37  82   709089.000     3.034 1  45
  37  83   720043.062     2.324 1  46
  37  84   728802.812     2.184 1  47
  37  85   739282.500     0.000 1  48
  37  86   747933.500     0.172 1  49
  37  87   757855.562     0.000 1  50
  37  88   763938.125     0.176 1  51
  37  89   771112.875     5.429 1  52
  37  90   776836.062     6.480 1  53
  37  91   783288.000     7.826 1  54
  37  92   788386.812     6.164 1  55
  37  93   794305.562     7.812 1  56
  37  94   798319.812     2.068 1  57
  37  95   803719.750    20.235 1  58
  37  96   807254.062     3.360 1  59
  37  97   812490.000     1.940 1  60
  37  98   816411.375    16.072 1  61
  37  99   821234.688     4.059 1  62
  37 100   824432.000    19.600 1  63
  38  75   622238.312   219.975 1  37
  38  76   637938.562    34.428 1  38
  38  77   649565.688     7.931 1  39
  38  78   663007.438     7.488 1  40
  38  79   673381.812     8.374 1  41
  38  80   686287.625     3.440 1  42
  38  81   695575.625     3.159 1  43
  38  82   708128.875     5.986 1  44
  38  83   716987.812     6.806 1  45
  38  84   728911.000     1.260 1  46
  38  85   737436.000     2.805 1  47
  38  86   748927.250     0.000 1  48
  38  87   757355.562     0.000 1  49
  38  88   768468.312     0.000 1  50
  38  89   774827.062     0.089 1  51
  38  90   782637.438     2.160 1  52
  38  91   788412.625     5.460 1  53
  38  92   795699.375     3.404 1  54
  38  93   800989.188     7.533 1  55
  38  94   807820.375     1.692 1  56
  38  95   812165.562     5.795 1  57
  38  96   818041.375     8.448 1  58
  38  97   821770.062     3.395 1  59
  38  98   827683.000     3.234 1  60
  38  99   831852.625     4.752 1  61
  38 100   837223.438     7.200 1  62
  38 101   840798.750     8.484 1  63
  38 102   845704.438    67.116 1  64
  39  79   664940.375    79.158 1  40
  39  80   676342.000     6.240 1  41
  39  81   688978.062     5.427 1  42
  39  82   699400.562     5.494 1  43
  39  83   711613.500    18.592 1  44
  39  84   721373.562     4.284 1  45
  39  85   733392.625    18.955 1  46
  39  86   742904.812    14.104 1  47
  39  87   754711.375     1.131 1  48
  39  88   764063.438     1.496 1  49
  39  89   775544.000     1.602 1  50
  39  90   782401.000     1.620 1  51
  39  91   790329.688     1.820 1  52
  39  92   796866.188     9.108 1  53
  39  93   804348.188    10.509 1  54
  39  94   810543.750     6.392 1  55
  39  95   817472.375     6.745 1  56
  39  96   822670.875     6.048 1  57
  39  97   828527.688     6.693 1  58
  39  98   832772.312     7.938 1  59
  39  99   839198.750     6.633 1  60
  39 100   843947.562    11.200 1  61
  39 101   849752.438     7.070 1  62
  39 102   853936.000     4.080 1  63
  39 103   859291.688    11.227 1  64
  39 105   868247.062  1336.650 1  66
  40  81   679943.000    94.041 1  41
  40  82   694185.438    11.152 1  42
  40  83   704537.125     6.391 1  43
  40  84   718118.438     5.460 1  44
  40  85   727943.312     6.460 1  45
  40  86   740808.375     3.526 1  46
  40  87   750257.938     4.176 1  47
  40  88   762610.938     5.368 1  48
  40  89   771929.000     3.115 1  49
  40  90   783897.188     0.090 1  50
  40  91   791091.625     0.091 1  51
  40  92   799726.375     0.092 1  52
  40  93   806460.688     0.465 1  53
  40  94   814679.250     0.188 1  54
  40  95   821141.250     0.855 1  55
  40  96   828991.375     0.096 1  56
  40  97   834566.562     0.388 1  57
  40  98   840981.938     8.428 1  58
  40  99   845387.125    10.494 1  59
  40 100   852215.312     8.100 1  60
  40 101   857075.062     8.383 1  61
  40 102   863568.250     8.772 1  62
  40 103   867867.125     9.270 1  63
  40 104   873847.188     9.360 1  64
  40 105   877659.188    12.075 1  65
  40 106   882815.750   433.116 1  66
  40 107   886716.812  1122.430 1  67
  41  83   695399.188   150.894 1  42
