   1    2    3    0.8808
  83  126  209    0.0108
  83  127  210    0.0153
  83  129  212    0.0189
  84  110  194   -0.0053
  84  111  195   -0.0058
  84  112  196   -0.0031
  84  113  197   -0.0015
  84  114  198    0.0010
  84  115  199    0.0011
  84  116  200    0.0053
  84  117  201    0.0067
  84  118  202    0.0082
  84  119  203    0.0107
  84  120  204    0.0097
  84  121  205    0.0092
  84  122  206    0.0102
  84  123  207    0.0112
  84  124  208    0.0104
  84  125  209    0.0130
  84  126  210    0.0120
  84  127  211    0.0167
  84  134  218    0.0164
  86  118  204    0.0047
  86  120  206    0.0072
  86  121  207    0.0083
  86  122  208    0.0085
  86  123  209    0.0091
  86  124  210    0.0088
  86  125  211    0.0107
  86  126  212    0.0102
  86  134  220    0.0191
  86  135  221    0.0186
  86  136  222    0.0184
  87  117  204    0.0023
  87  118  205    0.0049
  87  119  206    0.0095
  87  120  207    0.0080
  87  121  208    0.0081
  87  122  209    0.0091
  87  123  210    0.0104
  87  124  211    0.0096
  87  125  212    0.0112
  87  126  213    0.0110
  87  132  219    0.0147
  87  133  220    0.0157
  87  134  221    0.0239
  87  135  222    0.0231
  87  136  223    0.0184
  87  137  224    0.0195
  87  138  225    0.0184
  87  139  226    0.0147
  87  140  227    0.0254
  87  141  228    0.0238
  87  142  229    0.0158
  87  144  231    0.0159
  88  122  210    0.0079
  88  123  211    0.0089
  88  124  212    0.0087
  88  125  213    0.0107
  88  126  214    0.0104
  88  134  222    0.0226
  88  135  223    0.0206
  88  136  224    0.0195
  88  137  225    0.0204
  88  138  226    0.0191
  88  139  227    0.0160
  88  140  228    0.0183
  88  141  229    0.0193
  88  142  230    0.0213
  88  144  232    0.0188
  90  139  229    0.0153
  90  140  230    0.0182
  90  142  232    0.0178
  92  143  235    0.0134
  92  144  236    0.0140
  92  146  238    0.0140
  94  146  240    0.0166
  94  147  241    0.0147
  94  148  242    0.0122
  94  150  244    0.0125
  95  148  243    0.0120
  96  148  244    0.0144
  96  150  246    0.0133
  96  152  248    0.0125
