  36  53  89   4.2286  0.0054                    89,53,0.379,0.004,4.2286,0.0054
  36  54  90   4.2423  0.0069                    90,54,0.495,0.010,4.2423,0.0069
  36  55  91   4.2543  0.0081                    91,55,0.597,0.006,4.2543,0.0081
  36  56  92   4.2724  0.0099                    92,56,0.751,0.005,4.2724,0.0099
  36  57  93   4.2794  0.0107                    93,57,0.811,0.004,4.2794,0.0107
  36  58  94   4.3002  0.0129                    94,58,0.989,0.004,4.3002,0.0129
  36  59  95   4.3067  0.0136                    95,59,1.045,0.003,4.3067,0.0136
  36  60  96   4.3267  0.0158                    96,60,1.217,0.010,4.3267,0.0158
  37  37  74   4.1936  0.0162                    74,37,-0.045,0.018,4.1936,0.0162
  37  38  75   4.2306  0.0147                    75,38,0.266,0.004,4.2306,0.0147
  37  39  76   4.2343  0.0134                    76,39,0.2980,0.0030,4.2343,0.0134
  37  40  77   4.2406  0.0120                    77,40,0.3514,0.0079,4.2406,0.0120
  37  41  78   4.2434  0.0107                    78,41,0.3746,0.0026,4.2434,0.0107
  37  42  79   4.2321  0.0095                    79,42,0.2788,0.0021,4.2321,0.0095
  37  43  80   4.2306  0.0083                    80,43,0.2664,0.0077,4.2306,0.0083
  37  44  81   4.2239  0.0072                    81,44,0.2099,0.0025,4.2239,0.0072
  37  45  82   4.2185  0.0061                    82,45,0.1642,0.0074,4.2185,0.0061
  37  46  83   4.2072  0.0051                    83,46,0.0687,0.0018,4.2072,0.0051
  37  47  84   4.2009  0.0042                    84,47,0.0163,0.0037,4.2009,0.0042
  37  48  85   4.2040  0.0034                    85,48,0.0420,0.0001,4.2040,0.0034
  37  49  86   4.2030  0.0028                    86,49,0.0335,0.0035,4.2030,0.0028
  37  50  87   4.1990  0.0026                    87,50,0,0,4.1990,0.0026
  37  51  88   4.2173  0.0028                    88,51,0.1538,0.0090,4.2173,0.0028
  37  52  89   4.2399  0.0033                    89,52,0.3448,0.0035,4.2399,0.0033
  37  53  90   4.2563  0.0040                    90,53,0.4843,0.0090,4.2563,0.0040
  37  54  91   4.2734  0.0048                    91,54,0.6300,0.0041,4.2734,0.0048
  37  55  92   4.2916  0.0056                    92,55,0.7862,0.0092,4.2916,0.0056
  37  56  93   4.3069  0.0064                    93,56,0.9177,0.0037,4.3069,0.0064
  37  57  94   4.3204  0.0072                    94,57,1.0345,0.0041,4.3204,0.0072
  37  58  95   4.3415  0.0080                    95,58,1.2174,0.0067,4.3415,0.0080
  37  59  96   4.3526  0.0088                    96,59,1.3134,0.0085,4.3526,0.0088
  37  60  97   4.4275  0.0095                    97,60,1.9708,0.0070,4.4275,0.0095
  37  61  98   4.4379  0.0108                    98,61,2.0630,0.0090,4.4379,0.0108
  38  39  77   4.2569  0.0044                    77,39,0.253,0.012,4.2569,0.0044
  38  40  78   4.2561  0.0040                    78,40,0.247,0.008,4.2561,0.0040
  38  41  79   4.2586  0.0039                    79,41,0.266,0.006,4.2586,0.0039
  38  42  80   4.2562  0.0037                    80,42,0.248,0.007,4.2562,0.0037
